"en_name";"en_vote";"vote_general";"fr_name";"fr_vote";"it_name";"it_vote";"es_name";"es_vote";"de_name";"de_vote";"earliest_begin";"latest_begin";"earliest_end";"latest_end";"link_chronontology"
"Austrian occupation";;"Uok";"Austrian occupation";;"Occupazione austriaca";;"Ocupación austriaca";;"Österreichische Besetzung";;1915;1915;1918;1918;"http://chronontology.dainst.org/period/NeBDz1Rlmtph"
"Austrian rule";;"Uok";"Règle autrichienne";;"Dominio austriaco";;"Dominio austriaco";;"Österreichische Herrschaft";;1814;1814;1899;1899;"http://chronontology.dainst.org/period/JzNUQCzEW4Xb"
"Austro-Hungarian";;"Uok";"Austro-Hungarian";;"Austro-Hungarian";;"Austrohúngaro";;"Österreichisch-Ungarisch";;1867;1867;1918;1918;"http://chronontology.dainst.org/period/aXiT9lC032g2"
"Austro-Turkish War";;"Uok";"Guerre austro-turque";;"Guerra austro-turca";;"Guerra austro-turca";;"Austro-Turkish War";;1683;1683;1699;1699;"http://chronontology.dainst.org/period/4TrkDoYGn57s"
"Auto-destructive art";;"Uok";"Auto-destructive art";;"Auto-destructive art";;"Arte autodestructivo";;"Auto-destructive art";;1960;1960;1969;1969;"http://chronontology.dainst.org/period/23irr9XPY3fV"
"Ava kingdom";;"Uok";"Royaume d'Ava";;"Regno di Ava";;"Reino de Ava";;"Ava Königreich";;1364;1364;1527;1527;"http://chronontology.dainst.org/period/QlB5eh2G8i7s"
"Awam Dynasty";"Uok";;"Dynastie publique";"Xbad-translation";"Dinastia pubblica";"Xbad-translation";"Dinastía pública";"Xbad-translation";"Öffentliche Dynastie";"Xbad-translation";-2350;-2350;-2200;-2200;"http://chronontology.dainst.org/period/DE8BcVslq0kG"
"Awam";"Uok";;"Publique";"Xbad-translation";"Pubblico";"Xbad-translation";"Público";"Xbad-translation";"Öffentlichkeit";"Xbad-translation";-2350;-2350;-2200;-2200;"http://chronontology.dainst.org/period/DE8BcVslq0kG"
"Axis occupation";;"Uok";"Axis occupation";;"Occupazione dell'Asse";;"Ocupación del eje";;"Besetzung durch Achsenmächte";"Ucorrected";1939;1939;1944;1944;"http://chronontology.dainst.org/period/sKbY7n1XGQv1"
"Aylesford";;"Uname";"Aylesford";;"Aylesford";;"Aylesford";;"Aylesford";;-1950;-1950;-1880;-1880;"http://chronontology.dainst.org/period/aK3mVKJW6VJQ"
"Ayudhya";;"Uname";"Ayudhya";;"Ayudhya";;"Ayudhya";;"Ayudhya";;1300;1300;1799;1799;"http://chronontology.dainst.org/period/ZRpShDE41XPB"
"Ayyubid dynasty";;"Uok";"Dynastie ayyubide";;"Dinastia ayyubide";;"Dinastía ayyubí";;"Ayyubid-Dynastie";;1169;1169;1260;1260;"http://chronontology.dainst.org/period/ODcQOzB66QqM"
"Ayyubid";;"Uname";"Ayyubid";;"ayyubide";;"Ayubí";;"Ayyubid";;1175;1175;1225;1225;"http://chronontology.dainst.org/period/CJBj7SEqMY8V"
"Aztec";;"Uok";"Aztèque";;"azteco";;"azteca";;"aztekisch";;1400;1400;1520;1520;"http://chronontology.dainst.org/period/OlwD8P1cEMw4"
"Azuchi-Momoyama period";"Uok";;"Azuchi momo period";"Xbad-translation";"Azuchi momo perio d";"Xbad-translation";"Azuchi momo perio d";"Xbad-translation";"Azuchi momo perio d";"Xbad-translation";1568;1568;1603;1603;"http://chronontology.dainst.org/period/kRb4GjG6xd8h"
"Ba Đinh Uprising";;"Uok";"Soulèvement de Ba Dinh";;"Ba Dinh Uprising";;"Levantamiento de Ba Dinh";;"Ba Dinh Aufstand";;1886;1886;1887;1887;"http://chronontology.dainst.org/period/A4xatlZfEJ4B"
"BA";;"Xeasily-mistaken";"BA";;"BA";;"licenciado en Letras";;"BA";;-3100;-3100;-1051;-1051;"http://chronontology.dainst.org/period/qPQCtBCys1wx"
"Babylonian captivity";;"Uok";"Captivité babylonienne";;"Prigionia babilonese";;"Cautiverio babilónico";;"Babylonische Gefangenschaft";;-597;-597;-514;-514;"http://chronontology.dainst.org/period/x6f1FMHA0HPB"
"Babylonian exile";;"Uok";"Exil babylonien";;"Esilio babilonese";;"Exilio babilónico";;"Babylonisches Exil";;-597;-597;-514;-514;"http://chronontology.dainst.org/period/x6f1FMHA0HPB"
"Babylonian";;"Uok";"babylonien";;"babilonese";;"babilónico";;"Babylonier";;-2000;-2000;-1;-1;"http://chronontology.dainst.org/period/44Ioocw9DrCm"
"Babylonians";;"Uok";"Babyloniens";;"Babilonesi";;"Babilonios";;"Babylonier";;-559;-559;-529;-529;"http://chronontology.dainst.org/period/sE7WDfv2g21Y"
"Backsteingotik";;"Uname";"Backsteingotik";;"Backsteingotik";;"Backsteingotik";;"Backsteingotik";;1200;1200;1599;1599;"http://chronontology.dainst.org/period/zhdHAEUZdzBz"
"Bactria-Margiana Archaeological Complex";;"Uok";"Complexe archéologique de Bactria-Margiana";;"Complesso archeologico della Bactria-Margiana";;"Complejo Arqueológico Bactria-Margiana";;"Archäologischer Komplex Bactria-Margiana";;-2199;-2199;-1699;-1699;"http://chronontology.dainst.org/period/Ag9evlbbkgEe"
"Bad Painting";;"Xeasily-mistaken";"Mauvaise peinture";;"Cattiva pittura";;"Mala pintura";;"Schlechte Malerei";;1970;1970;1989;1989;"http://chronontology.dainst.org/period/J0F1oeLYIESZ"
"Badarian";;"Uname";"Badarian";;"Badarian";;"Badarian";;"Badarian";;-6000;-6000;-4000;-4000;"http://chronontology.dainst.org/period/BvWzf7FlwCrV"
"BÆX1";;"Uname";"BÆX1";;"BÆX1";;"BÆX1";;"BÆX1";;-1700;-1700;-1500;-1500;"http://chronontology.dainst.org/period/RXdaczRBREH4"
"Bagan period";;"Uok";"Période Bagan";;"Periodo Bagan";;"Periodo Bagan";;"Bagan-Zeit";;849;849;1287;1287;"http://chronontology.dainst.org/period/mI3EX2HjrKLZ"
"Bagratuni dynasty";;"Uok";"Dynastie Bagratuni";;"Dinastia Bagratuni";;"Dinastía Bagratuni";;"Bagratuni-Dynastie";;885;885;1045;1045;"http://chronontology.dainst.org/period/TqbbCMDjcocr"
"Bahmani Dynasty";;"Uok";"Dynastie Bahmani";;"Dinastia Bahmani";;"Dinastía bahmani";;"Bahmanische Dynastie";;1347;1347;1538;1538;"http://chronontology.dainst.org/period/MjiGatk6in8K"
"Bahmani";;"Uok";"Bahmani";;"Bahmani";;"Bahmani";;"Bahmani";;1347;1347;1518;1518;"http://chronontology.dainst.org/period/5AOcKEoghQhb"
"Bai miao";"Uok";"Ucorrected";"Bai miao";;"Bai miao";;"Bai miao";;"Bai miao";;1600;1600;1625;1625;"http://chronontology.dainst.org/period/wcAG868woxwj"
"Bãi Sậy Uprising";;"Uok";"Uprising Reed Beach";;"Rivolta Reed Beach";;"Levantamiento de playa de caña";;"Aufstand Reed Beach";;1883;1883;1892;1892;"http://chronontology.dainst.org/period/kOCpyN6J7gZS"
"Bajocian";;"Uname";"Bajocien";;"Baiociano";;"Bajociano";;"Bajocian";;-170300000;-170300000;-168300000;-168300000;"http://chronontology.dainst.org/period/14RzCAdnXMDb"
"Bakheng";;"Uname";"Bakheng";;"Bakheng";;"Bakheng";;"Bakheng";;889;889;900;900;"http://chronontology.dainst.org/period/hwxKrxTlKuCo"
"Bakun";;"Uname";"Bakun";;"Bakun";;"Bakun";;"Bakun";;-4999;-4999;-3999;-3999;"http://chronontology.dainst.org/period/RGU09LpUbiEP"
"Balaiada Revolt";;"Uok";"Révolte de Balaiada";;"Rivolta di Balaiada";;"Revuelta Balaiada";;"Balaiada-Aufstand";;1838;1838;1841;1841;"http://chronontology.dainst.org/period/dMnHOQ7rjkZC"
"Ballyvally";;"Uname";"Ballyvally";;"Ballyvally";;"Ballyvally";;"Ballyvally";;-1920;-1920;-1720;-1720;"http://chronontology.dainst.org/period/2QcoABvpFGlb"
"Bandkeramik";"Uok";"Xbad-translation";"Les mains fermées";;"Chiuso-handed";;"Con las manos cerradas";;"Geschlossen";;-5400;-5400;-4900;-4900;"http://chronontology.dainst.org/period/rbcZ0klxdMQT"
"Banijurid dynasty";;"Uok";"Dynastie Banijurid";;"Dinastia Banijurid";;"Dinastía Banijurid";;"Banijuridendynastie";;848;848;908;908;"http://chronontology.dainst.org/period/nJ4DR9AufRHc"
"Banpo";;"Uname";"Banpo";;"Banpo";;"Banpo";;"Banpo";;-4800;-4800;-4300;-4300;"http://chronontology.dainst.org/period/wjgY8MTrVxSJ"
"Banshan Period";;"Ucorrected";"Période Banshan";;"periodo Banshan";;"período de Banshan";;"Banshan-Zeit";;-2599;-2599;-2299;-2299;"http://chronontology.dainst.org/period/K9THlGndcpAg"
"Banshan";;"Ucorrected";"Banshan";;"Banshan";;"Banshan";;"Banshan";;-2800;-2800;-2300;-2300;"http://chronontology.dainst.org/period/vd1N5jfaqNap"
"Banteay Srei";;"Uname";"Banteay Srei";;"Banteay Srei";;"Banteay Srei";;"Banteay Srei";;925;925;975;975;"http://chronontology.dainst.org/period/9RgQbELRlZ9s"
"Bao Dai";;"Ucorrected";"Bao Dai";;"Bao Dai";;"Bao Dai";;"Bao Dai";;1926;1926;1945;1945;"http://chronontology.dainst.org/period/X6DgsNZlSzlm"
"Baoqing";;"Ucorrected";"Baoqing";;"Baoqing";;"Baoqing";;"Baoqing";;1225;1225;1227;1227;"http://chronontology.dainst.org/period/XyrREQtNifMi"
"Baoyuan";;"Ucorrected";"Baoyuan";;"Baoyuan";;"Baoyuan";;"Baoyuan";;1038;1038;1040;1040;"http://chronontology.dainst.org/period/fDHFDTJ5W1F7"
"Baphuon";;"Uname";"Baphuon";;"Baphuon";;"Baphuon";;"Baphuon";;900;900;1099;1099;"http://chronontology.dainst.org/period/JdVgiVlt3cjG"
"Bar Kokhba Rebellion";;"Uok";"Rébellion de Bar Kokhba";;"Bar Kokhba Rebellion";;"Rebelión de Bar Kokhba";;"Bar Kokhba Rebellion";;132;132;135;135;"http://chronontology.dainst.org/period/9awWyOQWqLG3"
"Baradostian";;"Ucorrected";"Baradostian";;"Baradostian";;"Baradostian";;"Baradostian";;-38000;-38000;-25000;-25000;"http://chronontology.dainst.org/period/fLYDVgSe2Vc4"
"Barbarian Migration";;"Uok";"Barbarian Migration";;"Migrazione barbarica";;"Migración Bárbara";;"Barbarenwanderung";;376;376;568;568;"http://chronontology.dainst.org/period/nf7ArkpbVwRE"
"Barbizon School";;"Uok";"Barbizon School";;"Scuola di Barbizon";;"Escuela barbizon";;"Barbizon Schule";;1841;1841;1875;1875;"http://chronontology.dainst.org/period/MtPnTc1uH6at"
"Barocchetto";;"Uok";"Barocchetto";;"Barocchetto";;"Barocchetto";;"Barocchetto";;1700;1700;1800;1800;"http://chronontology.dainst.org/period/5ZbYQ4uyVljZ"
"Barons' Crusade";;"Uok";"Croisade des barons";;"Barons 'Crusade";;"Cruzada de los barones";;"Baronenkreuzzug";;1096;1096;1099;1099;"http://chronontology.dainst.org/period/cR5pvWurEFJZ"
"Barons' War";;"Uok";"Barons' War";;"La guerra dei baroni";;"Guerra de los barones";;"Barons' War";;1263;1263;1267;1267;"http://chronontology.dainst.org/period/FvEC44bpMMVu"
"Baroque Revival";;"Uok";"Renaissance baroque";;"Rinascimento barocco";;"Renacimiento barroco";;"Barock Revival";"Ucorrected";1875;1875;1914;1914;"http://chronontology.dainst.org/period/3RcTYjhDI73p"
"Baroque";;"Uok";"Baroque";;"Barocco";;"Barroco";;"Barock-";;1590;1590;1750;1750;"http://chronontology.dainst.org/period/pSJhCnMhHn6z"
"Barracks Emperors";;"Uok";"Empereurs de caserne";;"Imperatori della caserma";;"Cuarteles emperadores";;"Kasernenkaiser";;235;235;284;284;"http://chronontology.dainst.org/period/xIXui1Fxv3wG"
"Barremian";;"Uok";"Barrémien";;"Barremiano";;"Barremian";;"Barremian";;-130800000;-130800000;-126300000;-126300000;"http://chronontology.dainst.org/period/tNQwNdBsAyfh"
"Bartonian";;"Uok";"Bartonian";;"Bartoniano";;"Bartoniano";;"Bartonian";;-41200000;-41200000;-37800000;-37800000;"http://chronontology.dainst.org/period/iQasVPXFPCfA"
"Base Ring";;"Uok";"Base Ring";;"Base Ring";;"Anillo base";;"Basisring";;-1600;-1600;-1050;-1050;"http://chronontology.dainst.org/period/PjxQHFuQx9LI"
"Bashadar";;"Uname";"Bashadar";;"Bashadar";;"Bashadar";;"Bashadar";;-525;-525;475;475;"http://chronontology.dainst.org/period/xi0Ery8W4gkJ"
"Bashkirian";;"Uname";"Bashkirian";;"Bashkirian";;"Bashkirian";;"Baschkirisch";;-323200000;-323200000;-315200000;-315200000;"http://chronontology.dainst.org/period/eDxXBMvsymaw"
"Basil I";;"Uok";"Basil I";;"Basilio I.";;"Albahaca";;"Basil I.";;867;867;886;886;"http://chronontology.dainst.org/period/KkB3C966NS50"
"Basil II Bulgaroctonus";"Uok";"Xbad-translation";"Basilic et Bulgarotzonus";;"Basilico e Bulgarotzonus";;"Albahaca y Bulgarotzonus";;"Basilikum und Bulgarotzonus";;976;976;1025;1025;"http://chronontology.dainst.org/period/mopxjxPjyjjp"
"Basiliscus";;"Uok";"Basiliscus";;"Basilisco";;"Basilisco";;"Basiliskus";;475;475;476;476;"http://chronontology.dainst.org/period/PtzjAyBgoOSq"
"Basketmaker II";;"Uok";"Basketmaker II";;"Basketmaker II";;"Basketmaker II";;"Korbmacher II";;-999;-999;500;500;"http://chronontology.dainst.org/period/DVQsPdReFbXs"
"Basketmaker III Exploitation";;"Uok";"Basketmaker III";;"Basketmaker III";;"Basketmaker III";;"Korbmacher III";;600;600;700;700;"http://chronontology.dainst.org/period/e7DLvj9PDKet"
"Basketmaker III Exploration";;"Uok";"Basketmaker III Exploitation";;"Basketmaker III Exploitation";;"Basketmaker III Explotación";;"Korbmacher III Ausbeutung";;500;500;600;600;"http://chronontology.dainst.org/period/nWlG3x39iuzi"
"Basketmaker III";;"Uok";"Exploration de Basketmaker III";;"Basketmaker III Exploration";;"Basketmaker III Exploration";;"Basketmaker III Exploration";;500;500;750;750;"http://chronontology.dainst.org/period/fczpmt2HNO6S"
"Basketmaker";;"Uok";"Vannier";;"basketmaker";;"Canasta de mercado";;"Korbmacher";"Ucorrected";-1000;-1000;750;750;"http://chronontology.dainst.org/period/VbNWg6NjRFIj"
"Basohli";;"Ucorrected";"Basohli";;"Basohli";;"Basohli";;"Basohli";;1675;1675;1799;1799;"http://chronontology.dainst.org/period/ZErmLxdAnh4u"
"Batak War";;"Uok";"Batak War";;"Guerra di Batak";;"Guerra Batak";;"Batak-Krieg";;1878;1878;1907;1907;"http://chronontology.dainst.org/period/HcpmyEwbdsNZ"
"Batavian Republic";;"Uok";"République batave";;"Repubblica di Batavian";;"República de Batavia";;"Batavische Republik";;1795;1795;1806;1806;"http://chronontology.dainst.org/period/VmgKwSOKuKev"
"Bathonian";;"Uok";"Bathonian";;"Bathonian";;"Báltico";;"Bathonian";;-168300000;-168300000;-166100000;-166100000;"http://chronontology.dainst.org/period/KZpeGhhvC609"
"Battle Axe culture";;"Uok";"Battle Axe culture";;"Cultura dell'ascia da battaglia";;"Cultura del hacha de batalla";;"Streitaxt Kultur";;-2800;-2800;-2400;-2400;"http://chronontology.dainst.org/period/XnX0ro7ApDta"
"Battle of Athens";;"Uok";"Bataille d'Athènes";;"Battaglia di Atene";;"Batalla de atenas";;"Schlacht von Athen";;1944;1944;1945;1945;"http://chronontology.dainst.org/period/fPXVejqNZGpl"
"Batu Khan's Invasion";;"Uok";"L'invasion de Batu Khan";;"Invasione di Batu Khan";;"La invasión de Batu Khan";;"Batu Khans Invasion";;1237;1237;1241;1241;"http://chronontology.dainst.org/period/qnxuq5OwMNPi"
"Baudouin I";;"Uname";"Baudouin I";;"Baudouin I";;"Baudouin I";;"Baudouin I.";;1951;1951;1993;1993;"http://chronontology.dainst.org/period/lgpc0lmJjeer"
"Bauhaus";;"Uname";"Bauhaus";;"Bauhaus";;"Bauhaus";;"Bauhaus";;1919;1919;1933;1933;"http://chronontology.dainst.org/period/NMX4q5dvQxFE"
"Bảy Thưa Uprising";"Uok";"Xbad-translation";"Seven Dear Uprising";;"Seven Dear Uprising";;"Seven Dear Uprising";;"Sieben Lieber Aufstand";;1867;1867;1873;1873;"http://chronontology.dainst.org/period/3wGiux40e6zb"
"Bayat";;"Ucorrected";"Bayat";;"Bayat";;"Bayat";;"Bayat";;-5000;-5000;-4500;-4500;"http://chronontology.dainst.org/period/I53UCIBlvBVt"
"Bayazid I";;"Uok";"Bayazid I";;"Bayazid I";;"Bayazid I";;"Bayazid I.";;1389;1389;1402;1402;"http://chronontology.dainst.org/period/XuvlE75fvvcD"
"Bayazid II";;"Uok";"Bayezid II";;"Bayezid II";;"Bayezid II";;"Bayezid II";;1482;1482;1512;1512;"http://chronontology.dainst.org/period/p0KZq2s2OH5x"
"Bayezid I";;"Ucorrected";"Bayezid I";;"Bayezid I";;"Bayezid I";;"Bayezid I";;1389;1389;1403;1403;"http://chronontology.dainst.org/period/6pYSHpt9IeZ9"
"Bayezid II";;"Uok";"Ils sont II";;"Sono II";;"Son II";;"Sie sind II";;1481;1481;1512;1512;"http://chronontology.dainst.org/period/RPaTD6D6ID0x"
"Bayon";;"Uname";"Bayon";;"Bayon";;"Bayon";;"Bayon";;1181;1181;1220;1220;"http://chronontology.dainst.org/period/aP2Tou3uZwpd"
"Baytown";;"Uname";"Baytown";;"Baytown";;"Baytown";;"Baytown";;500;500;1000;1000;"http://chronontology.dainst.org/period/I64cH7mZGP1s"
"Beaker culture";;"Uok";"Culture du bécher";;"Cultura Becher";;"Cultura vaso de precipitados";;"Becherkultur";;-3000;-3000;-2000;-2000;"http://chronontology.dainst.org/period/sAcfZuVdCDq7"
"Beakers";;"Xeasily-mistaken";"Béchers";;"becher";;"Vasos de precipitados";;"Becher";;-2450;-2450;-1700;-1700;"http://chronontology.dainst.org/period/lqSs0lbNFs4g"
"Beat generation";;"Uok";"Génération de beat";;"Beat Generation";;"Generación Beat";;"Beat generation";;1950;1950;1959;1959;"http://chronontology.dainst.org/period/cV2uNMX3aJSv"
"Beaux-Arts";;"Ucorrected";"Beaux-Arts";;"Beaux-Arts";;"Beaux-Arts";;"Beaux-Arts";;1800;1800;1999;1999;"http://chronontology.dainst.org/period/R4iv8J8P6ilu"
"Begtiginid dynasty";;"Uok";"Dynastie des Begtiginides";;"Dinastia Begtidid";;"Dinastía begtiginida";;"Begtiginiden-Dynastie";;1145;1145;1233;1233;"http://chronontology.dainst.org/period/c8yz16y5K8eY"
"Beixin";;"Uok";"Beixin";;"Beixin";;"Beixin";;"Beixin";;-5400;-5400;-2400;-2400;"http://chronontology.dainst.org/period/0kni9rUD7qYQ"
"Bell Beaker Culture";;"Uok";"Bell Beaker";;"Bell Beaker";;"Vaso de precipitados";;"Glockenbecher";;-2350;-2350;-1950;-1950;"http://chronontology.dainst.org/period/LdxJcehZPzGs"
"Bell Beaker";;"Uok";"Culture du bécher de cloche";;"Bell Beaker Culture";;"Cultura del vaso de campana";;"Glockenbecherkultur";;-4000;-4000;-3000;-3000;"http://chronontology.dainst.org/period/PZUQ6TgyMLzS"
"Belle Glade I";;"Uok";"Belle Glade I";;"Belle Glade I";;"Belle Glade I";;"Belle Glade I.";;-700;-700;1700;1700;"http://chronontology.dainst.org/period/eKSmA3li8eCi"
"Belle Glade II";;"Uok";"Belle Glade II";;"Belle Glade II";;"Belle Glade II";;"Belle Glade II";;-700;-700;1700;1700;"http://chronontology.dainst.org/period/9jdZLQrzvEto"
"Belle Glade III";;"Uok";"Belle Glade III";;"Belle Glade III";;"Belle Glade III";;"Belle Glade III";;-700;-700;1700;1700;"http://chronontology.dainst.org/period/diXita1qSrVf"
"Belle Glade IV";;"Uok";"Belle Glade IV";;"Belle Glade IV";;"Belle Glade IV";;"Belle Glade IV";;-700;-700;1700;1700;"http://chronontology.dainst.org/period/jW51Ln1fltGp"
"Belle Glade";;"Uok";"Belle Glade";;"Belle Glade";;"Belle Glade";;"Belle Glade";;-700;-700;1700;1700;"http://chronontology.dainst.org/period/KdkheiP0bD4G"
"Benacci";;"Uok";"Benacci";;"Benacci";;"Benacci";;"Benacci";;-1050;-1050;-700;-700;"http://chronontology.dainst.org/period/O0b6GPmbXLmI"
"Berlin Airlift";;"Uok";"Pont aérien de Berlin";;"Berlin Airlift";;"Puente aéreo de Berlín";;"Luftbrücke von Berlin";"Ucorrected";1948;1948;1949;1949;"http://chronontology.dainst.org/period/h5CqoXRL29Kv"
"Berlin Blockade";;"Uok";"Blocus de Berlin";;"Berlin Blockade";;"Bloqueo de Berlín";;"Berlin Blockade";;1948;1948;1949;1949;"http://chronontology.dainst.org/period/h5CqoXRL29Kv"
"Bernese rule";;"Uok";"Règle bernoise";;"Dominio bernese";;"Regla bernesa";;"Berner Herrschaft";;1536;1536;1798;1798;"http://chronontology.dainst.org/period/O82KuBsL6oMf"
"Berriasian";;"Uok";"Berriasian";;"Berriasiano";;"Berriasiano";;"Berriasian";;-145000000;-145000000;-139400000;-139400000;"http://chronontology.dainst.org/period/RC2CxctrecRo"
"Biedermeier";;"Uok";"Biedermeier";;"Biedermeier";;"Biedermeier";;"Biedermeier";;1820;1820;1859;1859;"http://chronontology.dainst.org/period/Z8o4SfOtGDWF"
"Bifurcate";;"Xeasily-mistaken";"Bifurqué";;"Biforcuto";;"Bifurcar";;"Gabelung";;-8000;-8000;-6000;-6000;"http://chronontology.dainst.org/period/muxe7tnypaZP"
"Bilaspur";;"Uok";"Bilaspur";;"Bilaspur";;"Bilaspur";;"Bilaspur";;1650;1650;1870;1870;"http://chronontology.dainst.org/period/fUsDgxQ6LBtJ"
"bilingual";;"Xeasily-mistaken";"bilingue";;"bilingue";;"bilingüe";;"zweisprachig";;-580;-580;-560;-560;"http://chronontology.dainst.org/period/xBzhS1J17plN"
"Binh Dinh";;"Ucorrected";"Binh Dinh";;"Binh Dinh";;"Binh Dinh";;"Binh Dinh";;1074;1074;1145;1145;"http://chronontology.dainst.org/period/aKlzI37I26pr"
"Birnirk";;"Uname";"Birnirk";;"Birnirk";;"Birnirk";;"Birnirk";;500;500;1000;1000;"http://chronontology.dainst.org/period/Q2dBBvh2nAcF"
"Bishopsland";;"Uname";"Bishopsland";;"Bishopsland";;"Bishopsland";;"Bishopsland";;-1400;-1400;-1125;-1125;"http://chronontology.dainst.org/period/4GD3F1iYr6wR"
"Black and White Style";;"Uok";"Style noir et blanc";;"Stile bianco e nero";;"Estilo blanco y negro";;"Schwarz-Weiß-Stil";;-670;-670;-630;-630;"http://chronontology.dainst.org/period/WWbRQHd8z9EB"
"black burnished";;"Uok";"noir bruni";;"brunito nero";;"negro bruñido";;"schwarz brüniert";;-6000;-6000;-1000;-1000;"http://chronontology.dainst.org/period/xnSr4wwAJq6r"
"Black Lustrous";;"Uok";"Noir brillant";;"Nero brillante";;"Negro brillante";;"Schwarz glänzend";;-3800;-3800;-2300;-2300;"http://chronontology.dainst.org/period/GeRQbaT4fMCj"
"Black Sand complex";;"Uok";"Complexe de sable noir";;"Complesso di sabbia nera";;"Complejo de arena negra";;"Schwarzer Sandkomplex";;-800;-800;-200;-200;"http://chronontology.dainst.org/period/cc3bdvVXryZe"
"Black Sand";;"Uok";"Sable noir";;"Sabbia nera";;"Arena negro";;"Schwarzer Sand";;-800;-800;-200;-200;"http://chronontology.dainst.org/period/Rqo6WQvj5mZm"
"Black-figure";;"Uok";"Figure noire";;"A figure nere";;"Figura negra";;"Schwarze Figur";;-720;-720;-525;-525;"http://chronontology.dainst.org/period/SF2OsSoomju0"
"Black-on-Buff";;"Uname";"Black-on-Buff";;"Black-on-Buff";;"Black-on-Buff";;"Black-on-Buff";;-5000;-5000;-4000;-4000;"http://chronontology.dainst.org/period/1og89EeILgE6"
"Black-slip-and-combed";;"Uok";"Noir-glissant et peigné";;"Black-slip-and-pettinati";;"Negro deslizamiento y peinado";;"Black-Slip-and-Combed";;-2800;-2800;-2300;-2300;"http://chronontology.dainst.org/period/gAtu2yVN0Qi1"
"black-topped";;"Uok";"noir";"Xeasily-mistaken";"black-sormontata";;"negro";"Xeasily-mistaken";"schwarz gekrönt";;-6000;-6000;-2925;-2925;"http://chronontology.dainst.org/period/aRAWDE5oxD3S"
"Blackmoor";;"Uname";"Blackmoor";;"Blackmoor";;"Blackmoor";;"Blackmoor";;-1100;-960;-1000;-860;"http://chronontology.dainst.org/period/PKUitPCf2Clk"
"Blacksand";;"Uok";"Sable noir";;"Blacksand";;"Arena negro";;"Schwarzer Sand";;-800;-800;-200;-200;"http://chronontology.dainst.org/period/vy9fxax7BD4K"
"BM II";;"Uname";"BM II";;"BM II";;"Bam E.";;"BM II";;-999;-999;500;500;"http://chronontology.dainst.org/period/DVQsPdReFbXs"
"BM III Exploitation";;"Uok";"BM III Exploitation";;"BM III Sfruttamento";;"BM III Explotación";;"BM III Ausbeutung";;600;600;700;700;"http://chronontology.dainst.org/period/e7DLvj9PDKet"
"BM III Exploration";;"Uok";"Exploration BM III";;"Esplorazione BM III";;"Exploración BM III";;"BM III Exploration";;500;500;600;600;"http://chronontology.dainst.org/period/nWlG3x39iuzi"
"BM III";;"Uname";"BM III";;"BM III";;"BM III";;"BM III";;500;500;750;750;"http://chronontology.dainst.org/period/fczpmt2HNO6S"
"BMAC";;"Uname";"BMAC";;"BMAC";;"BMAC";;"BMAC";;-2199;-2199;-1699;-1699;"http://chronontology.dainst.org/period/Ag9evlbbkgEe"
"BMII";;"Uname";"BMII";;"BMII";;"BMII";"Ucorrected";"BMII";;-999;-999;500;500;"http://chronontology.dainst.org/period/DVQsPdReFbXs"
"BMIII Exploitation";;"Uname";"BMIII Exploitation";;"Operazione BMIII";;"Operación BMIII";;"BMIII-Betrieb";;600;600;700;700;"http://chronontology.dainst.org/period/e7DLvj9PDKet"
"BMIII Exploration";;"Uok";"BMIII Exploration";;"BMIII Exploration";;"BMIII Exploration";;"BMIII Exploration";;500;500;600;600;"http://chronontology.dainst.org/period/nWlG3x39iuzi"
"BMIII";;"Uname";"BMIII";;"BMIII";;"BMIII";"Ucorrected";"BMIII";;500;500;750;750;"http://chronontology.dainst.org/period/fczpmt2HNO6S"
"Bodman/Schachem";;"Uok";"Bodman / Schachem";;"Bodman / Schachem";;"Bodman / Schachem";;"Bodman/Schachem";;-2000;-1950;-1600;-1500;"http://chronontology.dainst.org/period/QxuyazUxAPCs"
"Boeotian War";;"Uok";"Guerre de Béotie";;"Guerra Beoota";;"Guerra de Boeotian";;"Boeotian War";;-377;-377;-374;-374;"http://chronontology.dainst.org/period/J4TJIP2hDz5u"
"Boeotian";;"Uok";"Béotien";;"beota";;"Boeotiano";;"Boeotian";;-700;-700;-550;-550;"http://chronontology.dainst.org/period/IPzGySrBEmFK"
"Boer Revolt";"Uok";"Xbad-translation";"Révolte des agriculteurs";;"Farmer Revolt";;"Revuelta de granjeros";;"Bauernaufstand";;1914;1914;1915;1915;"http://chronontology.dainst.org/period/PaQUdoyqJtBS"
"Boer War";;"Uok";"Guerre des Boers";;"Guerra dei Boeri";;"Guerra boer";;"Boer War";;1899;1899;1902;1902;"http://chronontology.dainst.org/period/zJ7lme6Ogd8G"
"Bogomil";;"Uname";"Bogomil";;"Bogomil";;"Bogomil";;"Bogomil";;600;600;1199;1199;"http://chronontology.dainst.org/period/WHV8G7rAlYnN"
"Bol'shaia Rechka";"Uok";"Xbad-translation";"Lol l";;"Lol l";;"Jajaja";;"Lol l";;-700;-700;-500;-500;"http://chronontology.dainst.org/period/AkgtX9XxoGDX"
"Boleslaus I";;"Uok";"Boleslaus I";;"Boleslao I";;"Boleslaus I";;"Boleslaus I.";;992;992;1025;1025;"http://chronontology.dainst.org/period/6WvtDULjs8rc"
